####|Natureza do conteúdo não especificado
a|Resumos
b|Bibliografias 
c|Catálogos
d|Dicionários
e|Enciclopédias 
f|Manuais 
g|Artigos jurídicos 
i|Índices
j|Documento de patente
k|Discografias 
l|Legislação 
m|Teses 
n|Revisão de literatura
o|Recensão
p|Textos programados 
q|Filmografias 
r|Diretórios
s|Estatísticas 
t|Relatórios técnicos 
u|Normas/especificações
v|Notas sobre casos jurídicos
w|Relatórios de legislação e jurisprudências
y|Anuários
z|Tratados
2|Separata
5|Calendários
6|História em quadrinhos
#|(Um vazio)
##|(Dois vazios)
###|(Três vazios)
----|Não se tentou codificar
